Symbol,Date,Open,High,Low,Close,Volume
353810,2020-06-05,3912,5083,3912,5083,94145
353810,2020-06-08,6604,6604,6604,6605,18707
353810,2020-06-09,8577,8577,8577,8578,31902
353810,2020-06-10,11136,11136,11136,11136,284148
353810,2020-06-11,14162,14463,13209,14464,724730
353810,2020-06-12,15165,18526,14563,16069,3310580
353810,2020-06-15,0,0,0,16069,0
353810,2020-06-16,15751,18025,14463,16888,1246185
353810,2020-06-17,16219,16687,15182,15785,284320
353810,2020-06-18,15784,15935,14313,14413,363787
353810,2020-06-19,14430,14814,13477,14096,209366
353810,2020-06-22,14898,18292,14547,18293,430289
353810,2020-06-23,21570,23777,19162,20199,1752519
353810,2020-06-24,21068,21737,18995,20466,579430
353810,2020-06-25,0,0,0,20466,0
353810,2020-06-26,19596,20065,17757,18293,251618
353810,2020-06-29,17557,17857,16670,16721,149862
353810,2020-06-30,16821,20232,16821,17390,395019
353810,2020-07-01,17690,18727,16386,16721,165772
353810,2020-07-02,17055,17657,15951,17323,148963
353810,2020-07-03,17857,18393,17189,17557,82577
353810,2020-07-06,17389,17690,16754,17189,63097
353810,2020-07-07,17189,17222,16603,17022,72101
353810,2020-07-08,16955,18025,16369,17958,129254
353810,2020-07-09,17857,18393,17490,17891,75099
353810,2020-07-10,17590,17924,16955,17055,57584
353810,2020-07-13,17055,17222,16720,17089,40136
353810,2020-07-14,17490,18961,17456,17691,189614
353810,2020-07-15,18058,18158,17389,18025,65119
353810,2020-07-16,18058,18326,17724,17992,46896
353810,2020-07-17,17991,18359,17389,17657,44979
353810,2020-07-20,17657,17757,17222,17390,51423
353810,2020-07-21,17389,17791,17088,17524,49307
353810,2020-07-22,17690,18827,17322,18527,139723
353810,2020-07-23,18426,19262,17891,19196,110583
353810,2020-07-24,18894,19262,18459,19062,97763
353810,2020-07-27,19162,22038,18727,19664,358288
353810,2020-07-28,19697,20165,19195,19229,76761
353810,2020-07-29,19061,19095,18292,18426,72749
353810,2020-07-30,18627,18627,18025,18159,42137
353810,2020-07-31,17958,18025,17456,17557,65237
353810,2020-08-03,17456,17757,17389,17423,31183
353810,2020-08-04,17623,18426,17423,18393,50848
353810,2020-08-05,18125,18861,18092,18594,43542
353810,2020-08-06,19061,19697,18727,19162,82371
353810,2020-08-07,19362,19362,18225,18493,41885
353810,2020-08-10,18092,18660,17991,18192,56650
353810,2020-08-11,18426,20968,18393,19296,391661
353810,2020-08-12,19429,19596,18526,19564,77478
353810,2020-08-13,19663,20867,19262,20400,137283
353810,2020-08-14,20399,20499,19028,19263,92204
353810,2020-08-18,19563,19563,17523,17624,101558
353810,2020-08-19,17657,18393,17356,17925,54577
353810,2020-08-20,17690,17891,16670,16955,64324
353810,2020-08-21,16955,17657,16687,17223,32373
353810,2020-08-24,17222,17724,16754,17590,38790
353810,2020-08-25,17590,17891,17389,17858,23352
353810,2020-08-26,17690,17824,16988,17223,45247
353810,2020-08-27,17322,17557,16821,16821,43672
353810,2020-08-28,16888,17222,16821,16855,25662
353810,2020-08-31,16888,17423,16888,16922,23312
353810,2020-09-01,16921,17189,16854,16955,21625
353810,2020-09-02,16988,17690,16955,17557,43060
353810,2020-09-03,17791,18025,17088,17891,58062
353810,2020-09-04,17155,17958,17055,17858,54232
353810,2020-09-07,18025,18593,17523,18460,66250
353810,2020-09-08,18694,19295,18426,19129,84390
353810,2020-09-09,18727,18961,18092,18661,58473
353810,2020-09-10,18995,19563,18727,19296,70618
353810,2020-09-11,19195,19630,18426,19497,54861
353810,2020-09-14,20065,21737,20065,21603,388949
353810,2020-09-15,21737,22573,20667,22239,189866
353810,2020-09-16,22105,22472,21436,21871,105066
353810,2020-09-17,21904,23576,21570,21938,186341
353810,2020-09-18,21670,23108,21135,22707,123487
353810,2020-09-21,23375,23543,22539,22707,82208
353810,2020-09-22,22506,23342,21904,21904,63123
353810,2020-09-23,22372,22439,21034,21637,74527
353810,2020-09-24,21335,21335,20098,20400,73963
353810,2020-09-25,20700,21068,20332,20433,40247
353810,2020-09-28,20466,21101,20466,20901,27703
353810,2020-09-29,20934,21168,20366,20634,33377
353810,2020-10-05,20667,20733,19831,20466,25833
353810,2020-10-06,20433,20566,19897,20232,24646
353810,2020-10-07,19998,20366,19998,20199,13985
353810,2020-10-08,20299,20366,19797,19998,27152
353810,2020-10-12,20733,21402,19663,19731,65097
353810,2020-10-13,19730,19831,19162,19263,39687
353810,2020-10-14,19295,20098,18928,19396,34805
353810,2020-10-15,20198,20968,19797,20366,115630
353810,2020-10-16,20667,20733,19429,19898,52492
353810,2020-10-19,19964,20232,19730,20232,26079
353810,2020-10-20,20165,20299,19797,20232,24112
353810,2020-10-21,20232,20901,20165,20667,34309
353810,2020-10-22,20733,20733,20198,20366,24749
353810,2020-10-23,20433,20700,20098,20299,15117
353810,2020-10-26,20299,20299,19262,19263,38266
353810,2020-10-27,19362,19764,18627,19062,35231
353810,2020-10-28,24780,24780,21603,23209,1613669
353810,2020-10-29,22573,28425,22272,26720,1457579
353810,2020-10-30,27021,27756,25683,25750,363483
353810,2020-11-02,26185,27355,25750,26988,210941
353810,2020-11-03,27121,27623,26686,27155,194662
353810,2020-11-04,27790,34244,27154,31770,1408538
353810,2020-11-05,31803,36585,31268,34813,908189
353810,2020-11-06,35782,36150,30097,31435,515185
353810,2020-11-09,30933,31636,29696,30131,277252
353810,2020-11-10,29997,31134,29562,30800,230641
353810,2020-11-11,38800,40000,38650,40000,112515
353810,2020-11-12,47900,51900,44000,44600,1115233
353810,2020-11-13,42900,44000,39200,39350,264644
353810,2020-11-16,38550,45400,38550,41700,289138
353810,2020-11-17,40950,42350,38950,40050,150127
353810,2020-11-18,40050,40100,39000,39000,85055
353810,2020-11-19,39000,41500,39000,39500,94003
353810,2020-11-20,40850,40850,39250,39500,58419
353810,2020-11-23,39100,39600,38600,39400,58605
353810,2020-11-24,39500,39750,38900,38950,42527
353810,2020-11-24,39500,39750,38900,38900,43855
