Symbol,Date,Open,High,Low,Close,Volume
305090,2019-06-05,20525,26650,19550,19550,6148627
305090,2019-06-07,19250,21000,17650,17850,2030663
305090,2019-06-10,17975,18075,16350,16625,766254
305090,2019-06-11,16750,16900,15899,16150,448777
305090,2019-06-12,16175,16475,15775,15850,366178
305090,2019-06-13,15900,16800,15700,16000,684866
305090,2019-06-14,16025,16050,14599,14625,396010
305090,2019-06-17,14675,14800,14225,14275,164958
305090,2019-06-18,14350,14450,13200,13450,325634
305090,2019-06-19,13550,13700,13200,13325,173430
305090,2019-06-20,13425,14000,13325,13550,265961
305090,2019-06-21,13575,14150,13249,13300,253187
305090,2019-06-24,13225,13449,12449,12500,197337
305090,2019-06-25,12600,12874,11900,12050,142470
305090,2019-06-26,12099,12525,11950,12250,142801
305090,2019-06-27,12300,12575,11375,11700,151895
305090,2019-06-28,11575,11725,11050,11200,140831
305090,2019-07-01,11200,11500,11125,11250,114944
305090,2019-07-02,11575,13500,11525,12300,1381203
305090,2019-07-03,12350,12375,11550,11575,205526
305090,2019-07-04,11625,11625,10725,10875,198416
305090,2019-07-05,10800,10875,10075,10225,392729
305090,2019-07-08,10275,10375,9925,9925,200443
305090,2019-07-09,10025,10200,9500,9525,205084
305090,2019-07-10,9675,9925,9550,9925,182090
305090,2019-07-11,10050,10575,9925,10175,321933
305090,2019-07-12,10250,10375,9625,9775,158963
305090,2019-07-15,9800,10225,9700,9800,156650
305090,2019-07-16,9900,10275,9850,10250,139417
305090,2019-07-17,10175,10200,9850,10000,94151
305090,2019-07-18,10175,10500,9975,10000,193007
305090,2019-07-19,10050,10500,9950,10450,201267
305090,2019-07-22,10550,10850,10450,10700,217613
305090,2019-07-23,10725,10775,10225,10325,142520
305090,2019-07-24,10350,10450,9675,9750,169221
305090,2019-07-25,9825,10025,9500,9575,134771
305090,2019-07-26,9575,9875,9525,9575,147102
305090,2019-07-29,9600,9725,8625,8625,167335
305090,2019-07-30,8600,8950,8525,8675,79694
305090,2019-07-31,8650,9850,8450,9000,463846
305090,2019-08-01,9000,9100,8775,8775,79667
305090,2019-08-02,8550,8775,8400,8450,90035
305090,2019-08-05,8400,8400,7425,7425,125465
305090,2019-08-06,7175,7625,6850,7100,105317
305090,2019-08-07,7275,7375,6875,7000,104675
305090,2019-08-08,7075,7525,7075,7375,129892
305090,2019-08-09,7375,7750,7300,7725,140293
305090,2019-08-12,7800,7925,7575,7875,77126
305090,2019-08-13,7900,8025,7500,7625,84112
