Symbol,Date,Open,High,Low,Close,Volume
348350,2020-10-30,37100,46000,36250,41100,4094842
348350,2020-11-02,42050,42650,38000,39500,660223
348350,2020-11-03,40200,43600,39300,43600,523761
348350,2020-11-04,42700,56600,42250,56600,1452561
348350,2020-11-05,64800,73500,62800,73500,1882363
348350,2020-11-06,72000,78800,62000,62000,2361888
348350,2020-11-09,65000,69700,60200,61000,345102
348350,2020-11-10,61100,61500,52600,56200,383110
348350,2020-11-11,55300,57100,52400,54500,161951
348350,2020-11-12,55500,59200,54500,57200,305537
348350,2020-11-13,55500,57700,52800,54100,144113
348350,2020-11-16,52800,56700,52600,54500,314907
348350,2020-11-17,53800,54000,50500,51300,128290
348350,2020-11-18,51300,52400,49450,50100,111588
348350,2020-11-19,49700,50900,48500,50500,94254
348350,2020-11-20,50800,50800,49550,49600,65948
348350,2020-11-23,49650,53500,49050,52100,185254
348350,2020-11-24,52800,54400,51300,52500,127456
348350,2020-11-24,52800,54400,51300,51900,131045
