종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,BPS,주당배당금,배당수익률,PER,PBR,PCR,PSR
229000,젠큐릭스,코스닥,제약,15100,-850,96623374900,2020-12-28,-,15100,,29,0,0,,505.513021,,1011.026042
008290,원풍물산,코스닥,섬유·의류,2370,-105,96444019230,2020-12-28,-,2370,,1119,0,0,,2.17300676239035,330.297027883333,2.42865461678922
078890,가온미디어,코스닥,IT H/W,6390,20,96324732270,2020-12-28,-,6390,1227,10477,100,1.56,5.29275176444444,0.611093853495831,2.18008081830664,0.158518355673877
124560,태웅로직스,코스닥,운송,4930,-110,96316384560,2020-12-28,-,4930,664,2337,50,1.01,10.317868275,2.39834226246973,10.6507027354839,0.346212986508214
119850,지엔씨에너지,코스닥,일반전기전자,5910,-120,96308343480,2020-12-28,-,5910,422,4944,50,0.85,14.5932788059702,1.05134374193548,977.74968,0.580956434937612
222110,팬젠,코스닥,제약,9970,0,96128556570,2020-12-28,-,9970,,1911,0,0,,5.20865777934783,,33.0480355655173
064240,홈캐스트,코스닥,IT H/W,2900,-95,95974792400,2020-12-28,-,2900,,2113,0,0,,1.14880647264368,,1.89291975606061
039290,인포뱅크,코스닥,통신방송서비스,11000,1000,95633758000,2020-12-28,-,11000,99,6029,10,0.09,120.62894475,1.73566826978417,32.1677186,0.807557789121339
072470,우리산업홀딩스,코스닥,운송장비·부품,5060,-80,95569945460,2020-12-28,-,5060,10,6836,25,0.49,492.9596001,0.443708010891089,3.80663783861004,0.260687255473295
067010,이씨에스,코스닥,IT H/W,7750,-300,95278500000,2020-12-28,-,7750,308,3645,100,1.29,25.16,2.13,,
198440,고려시멘트,코스닥,비금속,2975,-50,95140381000,2020-12-28,-,2975,106,2766,15,0.5,28.07,1.085292760181,33.0827172413793,1.35317179125529
060310,3S,코스닥,기계·장비,2120,-45,94981323320,2020-12-28,-,2120,,745,0,0,,2.85,,
