Symbol,Date,Open,High,Low,Close,Volume
199820,2020-11-26,34000,42000,28400,28650,7663311
199820,2020-11-27,28100,31700,27200,28650,2502336
199820,2020-11-30,29000,29550,26500,26650,722762
199820,2020-12-01,27800,28600,26400,26750,718848
199820,2020-12-02,26550,26750,24950,24950,652747
199820,2020-12-03,25100,25500,23650,24950,555681
199820,2020-12-04,24900,24950,23550,23600,283352
199820,2020-12-07,23300,23450,21700,21950,363156
199820,2020-12-08,21900,23600,21900,22550,558372
199820,2020-12-09,23100,24800,23000,23050,596478
199820,2020-12-10,23200,24450,23150,23500,203297
199820,2020-12-11,23350,23800,22550,22750,174654
199820,2020-12-14,22600,22650,21850,22000,181433
199820,2020-12-15,22000,23500,22000,22600,343798
199820,2020-12-16,22850,23450,22600,22750,156979
199820,2020-12-17,22950,22950,22200,22550,101299
199820,2020-12-18,22550,23700,22250,23000,217667
199820,2020-12-21,23000,23450,22400,22650,128815
199820,2020-12-22,22500,29200,22200,27250,4144216
199820,2020-12-23,26550,32000,24500,25450,5847220
199820,2020-12-24,25100,29200,25100,26600,2194938
199820,2020-12-24,25100,29200,25100,26600,2203543
199820,2020-12-28,26200,26950,24150,24250,781604
199820,2020-12-28,26200,26950,24150,24250,791343
199820,2020-12-29,24600,25450,24200,24600,476921
199820,2020-12-30,25100,28650,25100,26600,2401233
199820,2020-12-30,25100,28650,25100,26600,2413383
199820,2021-01-04,26800,29550,26600,29000,2018648
199820,2021-01-05,29650,31500,27850,28200,2190330
