종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,BPS,주당배당금,배당수익률,PER,PBR,PCR,PSR
091990,셀트리온헬스케어,코스닥,유통,173000,10100,26263099206000,2021-01-11,-,173000,427,10816,0,0,401.712144369231,15.6739836628849,,23.7181300608593
068760,셀트리온제약,코스닥,제약,222400,1500,7964285668800,2021-01-11,-,222400,236,7674,0,0,932.742173023256,28.6485096,287.511924301075,46.2339059827089
028300,에이치엘비,코스닥,운송장비·부품,94200,-3700,4990121598000,2021-01-11,-,94200,,3835,0,0,,26.3190719238901,,129.676260625
096530,씨젠,코스닥,제약,179700,-6900,4714253394000,2021-01-11,-,179700,1026,5815,100,0.06,177.448090337079,31.0069634293194,174.828930332103,38.8349509180328
196170,알테오젠,코스닥,기타서비스,156000,-4400,4380932400000,2021-01-11,-,156000,,2519,0,0,,61.3263329059829,473.088853846154,147.435225
247540,에코프로비엠,코스닥,일반전기전자,193500,-500,4070304621000,2021-01-11,-,193500,1750,18010,150,0.08,114.321554347826,10.6539536061588,308.132314453125,6.40171015257264
036490,SK머티리얼즈,코스닥,IT H/W,338600,5700,3571442077800,2021-01-11,-,338600,13507,44730,3850,1.14,26.3033623876755,6.48105142821449,13.407916732008,4.36686228710179
035760,CJ ENM,코스닥,통신방송서비스,159900,3700,3506471724600,2021-01-11,-,159900,5310,134364,1400,0.88,35.5664781765835,1.17580729908944,4.98523947538337,0.977920950471013
293490,카카오게임즈,코스닥,IT S/W & SVC,46700,-300,3461246574300,2021-01-11,-,46700,197,7443,0,0,311.2898418,8.20361346382367,48.708225601707,8.75751473094629
263750,펄어비스,코스닥,IT S/W & SVC,260800,800,3411224880000,2021-01-11,-,260800,13002,45229,0,0,22.2116920101458,5.94700140916808,20.8003790380047,6.53626391117746
032500,케이엠더블유,코스닥,IT H/W,83000,900,3305133289000,2021-01-11,-,83000,2654,5444,0,0,31.6007980963973,14.9695662569188,,4.75238243447064
253450,스튜디오드래곤,코스닥,오락·문화,99400,-400,2982431893000,2021-01-11,-,99400,941,15242,0,0,117.857976382576,7.26465229161803,,6.63846933326222
095700,제넥신,코스닥,기타서비스,112800,-3700,2785908907200,2021-01-11,-,112800,,12496,0,0,,9.25022724418996,,243.043581309735
145020,휴젤,코스닥,제약,197700,-300,2504885689500,2021-01-11,-,197700,3641,55220,0,0,55.8224557735426,3.34499734985893,32.3335263311688,12.168531414956
058470,리노공업,코스닥,IT H/W,152700,9600,2327509899000,2021-01-11,-,152700,3485,19694,1200,0.79,43.82,7.37239215189873,48.7487251982379,12.9958433587786
357780,솔브레인,코스닥,화학,282800,-5800,2199778464800,2021-01-11,-,282800,,,,,,,,
066970,엘앤에프,코스닥,IT H/W,78300,3000,2196998480700,2021-01-11,-,78300,,5040,50,0.06,,15.7963406054628,,6.64525276667731
240810,원익IPS,코스닥,IT H/W,44550,-700,2186687789550,2021-01-11,-,44550,899,11543,0,0,50.9717433461539,3.85931484212849,,3.26761474828153
078340,컴투스,코스닥,IT S/W & SVC,164000,4000,2110092880000,2021-01-11,-,164000,9160,71478,1400,0.85,18.7127002862254,2.26073037821483,16.1177187365177,4.45787319838057
235980,메드팩토,코스닥,기타서비스,101500,-1800,2064747713000,2021-01-11,-,101500,,3897,0,0,,25.8744407141042,,
278280,천보,코스닥,화학,205900,10900,2.059e+12,2021-01-11,-,205900,2348,21034,300,0.15,86.1304347826087,9.40645773979107,87.2687224669604,14.6415373244642
005290,동진쎄미켐,코스닥,IT H/W,36200,300,1861204682800,2021-01-11,-,36200,1138,6931,90,0.25,32.0791287350427,5.20707278301887,17.2642965133395,2.14398381240717
237690,에스티팜,코스닥,제약,93100,-3000,1736873600000,2021-01-11,-,93100,,16132,0,0,,5.62075732630886,,18.296077170418
323990,박셀바이오,코스닥,기타서비스,220000,-9700,1.65506e+12,2021-01-11,-,220000,,697,0,0,,335.806879120879,,
098460,고영,코스닥,기계·장비,119800,2500,1644967929800,2021-01-11,-,119800,2192,17763,550,0.46,56.0835126993243,6.81194901887567,56.8517799965753,7.47443483070689
000250,삼천당제약,코스닥,제약,71500,-4100,1627914931500,2021-01-11,-,71500,488,7142,50,0.07,150.702747571429,7.08951097446237,51.7117271078431,8.48005814308682
060250,NHN한국사이버결제,코스닥,IT S/W & SVC,65800,-300,1511517659400,2021-01-11,-,65800,1040,5192,230,0.35,60.2881865265306,11.5938820243328,20.1784230860656,3.1433508616727
200130,콜마비앤에이치,코스닥,제약,50700,750,1497858390600,2021-01-11,-,50700,1844,8544,250,0.49,27.1583900146789,5.81355952788688,18.9275224526854,3.37236786466165
141080,레고켐바이오,코스닥,기타서비스,62700,-2600,1484974636200,2021-01-11,-,62700,641,4741,0,0,97.82,11.9110383803169,53.4881461348315,26.2042844366973
030190,NICE평가정보,코스닥,기타서비스,24350,-900,1478405867000,2021-01-11,-,24350,682,3692,230,0.94,35.6401945833333,6.48581596342551,23.6058431655844,3.53886575565831
268600,셀리버리,코스닥,기타서비스,180300,-5700,1475774792100,2021-01-11,-,180300,,3489,0,0,,51.3892798461539,,668.060638
064760,티씨케이,코스닥,IT H/W,125000,2500,1.459375e+12,2021-01-11,-,125000,4011,18883,900,0.72,31.16,6.49670068027211,39.5724447513812,8.35777421236873
056190,에스에프에이,코스닥,기계·장비,40300,100,1447123028000,2021-01-11,-,40300,3939,24380,1056,2.62,10.7590261969697,1.27703575038216,184.440449090909,0.900165720986246
140410,메지온,코스닥,기타서비스,158500,-7100,1409493901000,2021-01-11,-,158500,,4920,0,0,,31.3945765560748,,71.0945966455027
039030,이오테크닉스,코스닥,IT H/W,114100,-500,1405660655000,2021-01-11,-,114100,984,31593,150,0.13,120.039251652893,3.68835689436262,27.456993289225,7.03377697336562
034230,파라다이스,코스닥,오락·문화,15250,-350,1386875748000,2021-01-11,-,15250,177,13924,100,0.66,94.5562881059603,0.890038617628725,9.10586703061225,1.45783127465795
069080,웹젠,코스닥,IT S/W & SVC,39200,2500,1384186652800,2021-01-11,-,39200,1369,10064,0,0,33.8603195164319,4.05638248425197,73.5943679285714,8.19108240431573
086520,에코프로,코스닥,IT H/W,62300,3800,1376218899300,2021-01-11,-,62300,946,12226,300,0.48,63.8852472112676,3.04419634362416,,1.93757050491243
039200,오스코텍,코스닥,제약,45600,-2350,1331534181600,2021-01-11,-,45600,,1708,0,0,,25.9004756911765,,320.224063090909
035900,JYP Ent.,코스닥,오락·문화,36200,-1600,1285009210400,2021-01-11,-,36200,947,4477,155,0.43,41.8484809840256,8.07059429944547,25.7339382082515,8.42894115057915
084850,아이티엠반도체,코스닥,IT H/W,55600,-800,1284682535600,2021-01-11,-,55600,2220,11668,0,0,30.4779149880096,4.77075471096096,30.7731006053269,3.19569790042746
