종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
046390,삼화네트웍스,코스닥,오락·문화,1385,-5,59794512205,2020-11-20,-,1385,18,76.94,811,1.71,0,0,,
114630,우노앤컴퍼니,코스닥,화학,4400,-25,59725446000,2020-11-20,-,4400,,,4911,0.9,100,2.27,,
115310,인포바인,코스닥,통신방송서비스,18700,100,59706912100,2020-11-20,-,18700,4134,4.52,26580,0.7,900,4.81,,
171090,선익시스템,코스닥,IT H/W,6630,20,59665325850,2020-11-20,-,6630,829,8,10070,0.66,100,1.51,,
011560,세보엠이씨,코스닥,건설,5650,0,59494500000,2020-11-20,-,5650,,,14252,0.4,150,2.65,,
031310,아이즈비전,코스닥,IT H/W,3770,-35,59462603980,2020-11-20,-,3770,,,5581,0.68,0,0,,
051780,큐로홀딩스,코스닥,통신방송서비스,637,18,59326483489,2020-11-20,-,637,,,276,2.31,0,0,,
122690,서진오토모티브,코스닥,운송장비·부품,3035,115,59307681610,2020-11-20,-,3035,,,4352,0.7,0,0,,
024840,KBI메탈,코스닥,금속,1790,-55,58982017920,2020-11-20,-,1790,196,9.13,2735,0.65,0,0,,
043290,케이맥,코스닥,기계·장비,1585,150,58900646235,2020-11-20,-,1585,,,1236,1.28,0,0,,
083650,비에이치아이,코스닥,기계·장비,2265,-5,5.889e+10,2020-11-20,-,2265,,,2685,0.84,0,0,,
091340,S&K폴리텍,코스닥,IT H/W,5000,105,58518605000,2020-11-20,-,5000,1368,3.65,7586,0.66,0,0,,
037760,쎄니트,코스닥,금속,1725,5,58361788725,2020-11-20,-,1725,62,27.82,2143,0.8,30,1.74,,
218150,미래생명자원,코스닥,음식료·담배,3120,45,58254855360,2020-11-20,-,3120,58,53.79,1589,1.96,0,0,,
002680,한탑,코스닥,음식료·담배,2600,150,57978575200,2020-11-20,-,2600,,,1573,1.65,0,0,,
050860,아세아텍,코스닥,기계·장비,3310,30,5.7925e+10,2020-11-20,-,3310,30,110.33,5625,0.59,50,1.51,,
010280,쌍용정보통신,코스닥,IT S/W & SVC,1430,-15,57863568620,2020-11-20,-,1430,32,44.69,1095,1.31,0,0,,
039020,이건홀딩스,코스닥,종이·목재,2545,10,57478084405,2020-11-20,-,2545,186,13.68,6634,0.38,70,2.75,,
037400,우리조명,코스닥,일반전기전자,2290,-15,57074462340,2020-11-20,-,2290,53,43.21,2799,0.82,0,0,,
246720,아스타,코스닥,제약,4950,50,56887988850,2020-11-20,-,4950,,,1291,3.83,0,0,,
043260,성호전자,코스닥,IT H/W,1220,60,56878110440,2020-11-20,-,1220,,,1156,1.06,0,0,,
332370,아이디피,코스닥,IT H/W,8550,0,56745178650,2020-11-20,-,8550,680,12.57,4385,1.95,0,0,,
038010,제일테크노스,코스닥,금속,6300,-220,5.67e+10,2020-11-20,-,6300,492,12.8,8454,0.75,90,1.43,,
048770,TPC,코스닥,기계·장비,4200,80,56617159200,2020-11-20,-,4200,,,2030,2.07,15,0.36,,
046110,한일네트웍스,코스닥,IT S/W & SVC,4720,-35,56423951440,2020-11-20,-,4720,589,8.01,5635,0.84,230,4.87,,
039610,화성밸브,코스닥,기계·장비,5400,20,56216160000,2020-11-20,-,5400,284,19.01,6985,0.77,0,0,,
072770,율호,코스닥,IT S/W & SVC,1530,-20,56115699840,2020-11-20,-,1530,,,636,2.41,0,0,,
037440,희림,코스닥,기타서비스,4025,-15,56037961875,2020-11-20,-,4025,288,13.98,3827,1.05,150,3.73,,
024850,피에스엠씨,코스닥,IT H/W,1400,30,56023132200,2020-11-20,-,1400,2,700,510,2.75,0,0,,
001000,신라섬유,코스닥,유통,2300,25,55838342000,2020-11-20,-,2300,9,255.56,595,3.87,0,0,,
036620,버추얼텍,코스닥,유통,822,3,55735031850,2020-11-20,-,822,,,287,2.86,0,0,,
040610,SG&G,코스닥,운송장비·부품,1630,-20,55562129480,2020-11-20,-,1630,49,33.27,7017,0.23,0,0,,
149980,하이로닉,코스닥,의료·정밀기기,3910,180,55130980450,2020-11-20,-,3910,231,16.93,2888,1.35,56,1.43,,
049550,잉크테크,코스닥,화학,3435,0,55028466420,2020-11-20,-,3435,,,2246,1.53,0,0,,
041590,젬백스지오,코스닥,건설,709,10,54895193525,2020-11-20,-,709,,,1169,0.61,0,0,,
073010,케이에스피,코스닥,기계·장비,1505,-5,54469346785,2020-11-20,-,1505,46,32.72,629,2.39,0,0,,
208370,셀바스헬스케어,코스닥,의료·정밀기기,2510,120,54418215640,2020-11-20,-,2510,,,1114,2.25,0,0,,
153490,우리이앤엘,코스닥,IT H/W,1090,15,5.4391e+10,2020-11-20,-,1090,99,11.01,1223,0.89,0,0,,
086060,진바이오텍,코스닥,음식료·담배,6300,20,54246698100,2020-11-20,-,6300,98,64.29,5450,1.16,30,0.48,,
085810,알티캐스트,코스닥,IT S/W & SVC,2545,25,54012942200,2020-11-20,-,2545,,,2931,0.87,0,0,,
005670,푸드웰,코스닥,음식료·담배,5400,50,5.4e+10,2020-11-20,-,5400,3153,1.71,7681,0.7,100,1.85,,
019540,일지테크,코스닥,운송장비·부품,3995,50,53986432500,2020-11-20,-,3995,,,8805,0.45,0,0,,
029480,릭스솔루션,코스닥,IT H/W,678,-13,53893184016,2020-11-20,-,678,,,365,1.86,0,0,,
002290,삼일기업공사,코스닥,건설,4340,0,5.3816e+10,2020-11-20,-,4340,265,16.38,4744,0.91,100,2.3,,
128660,피제이메탈,코스닥,금속,2165,5,53699293885,2020-11-20,-,2165,85,25.47,1634,1.32,100,4.62,,
008370,원풍,코스닥,화학,4470,40,5.364e+10,2020-11-20,-,4470,173,25.84,6125,0.73,150,3.36,,
096610,알에프세미,코스닥,IT H/W,5640,130,53550243360,2020-11-20,-,5640,,,6140,0.92,13,0.23,,
290270,휴네시온,코스닥,IT S/W & SVC,5560,-160,53418656320,2020-11-20,-,5560,187,29.73,2478,2.24,35,0.63,,
030350,드래곤플라이,코스닥,IT S/W & SVC,3335,15,53388317485,2020-11-20,-,3335,,,773,4.31,0,0,,
028080,휴맥스홀딩스,코스닥,금융,4240,80,53328625440,2020-11-20,-,4240,534,7.94,12176,0.35,0,0,,
203450,유니온커뮤니티,코스닥,일반전기전자,3630,70,53284795410,2020-11-20,-,3630,299,12.14,2360,1.54,70,1.93,,
263810,상신전자,코스닥,일반전기전자,3740,-65,53275245320,2020-11-20,-,3740,176,21.25,2424,1.54,0,0,,
076080,웰크론한텍,코스닥,건설,2665,105,53246971830,2020-11-20,-,2665,,,3257,0.82,0,0,,
019570,리더스 기술투자,코스닥,금융,555,-3,53218201860,2020-11-20,-,555,,,293,1.89,0,0,,
091970,나노캠텍,코스닥,화학,1895,35,53212405375,2020-11-20,-,1895,,,2292,0.83,0,0,,
006920,모헨즈,코스닥,비금속,4870,-15,53180400000,2020-11-20,-,4870,50,97.4,2067,2.36,0,0,,
263860,지니언스,코스닥,IT S/W & SVC,5610,50,52984206000,2020-11-20,-,5610,343,16.36,3585,1.56,0,0,,
059120,아진엑스텍,코스닥,IT H/W,5430,30,52934876280,2020-11-20,-,5430,253,21.46,4198,1.29,100,1.84,,
127710,아시아경제,코스닥,IT S/W & SVC,2060,-75,52547992040,2020-11-20,-,2060,146,14.11,4044,0.51,0,0,,
317830,에스피시스템스,코스닥,기계·장비,6450,100,52539765000,2020-11-20,-,6450,212,30.42,3737,1.73,20,0.31,,
080530,코디,코스닥,화학,2170,55,52522623580,2020-11-20,-,2170,,,1852,1.17,0,0,,
075130,플랜티넷,코스닥,IT S/W & SVC,5830,-20,52236800000,2020-11-20,-,5830,303,19.24,7467,0.78,250,4.29,,
085670,뉴프렉스,코스닥,IT H/W,2390,165,52029320100,2020-11-20,-,2390,,,2301,1.04,0,0,,
215480,토박스코리아,코스닥,유통,1235,10,51970162205,2020-11-20,-,1235,4,308.75,555,2.23,0,0,,
100030,모바일리더,코스닥,IT S/W & SVC,15800,150,51882681200,2020-11-20,-,15800,,,9486,1.67,0,0,,
147830,제룡산업,코스닥,금속,5160,50,5.16e+10,2020-11-20,-,5160,255,20.24,5685,0.91,100,1.94,,
053050,지에스이,코스닥,"전기,가스,수도",1720,10,51578666840,2020-11-20,-,1720,155,11.1,2305,0.75,40,2.33,,
221980,케이디켐,코스닥,화학,12750,0,51443700000,2020-11-20,-,12750,1917,6.65,19151,0.67,500,3.92,,
000440,중앙에너비스,코스닥,유통,8250,40,51373822500,2020-11-20,-,8250,132,62.5,7246,1.14,160,1.94,,
035200,프럼파스트,코스닥,화학,5270,-140,51280209300,2020-11-20,-,5270,124,42.5,3618,1.46,0,0,,
010470,오리콤,코스닥,기타서비스,4380,70,51263739000,2020-11-20,-,4380,532,8.23,7081,0.62,220,5.02,,
277410,인산가,코스닥,음식료·담배,1930,0,51160152430,2020-11-20,-,1930,121,15.95,1154,1.67,30,1.55,,
001810,무림SP,코스닥,종이·목재,2310,10,51137625000,2020-11-20,-,2310,61,37.87,9203,0.25,35,1.52,,
067730,로지시스,코스닥,IT S/W & SVC,5470,40,51094843340,2020-11-20,-,5470,,,1676,3.26,60,1.1,,
054940,엑사이엔씨,코스닥,건설,1540,-20,51087263920,2020-11-20,-,1540,,,1570,0.98,0,0,,
049830,승일,코스닥,금속,8330,30,51080492960,2020-11-20,-,8330,,,22914,0.36,0,0,,
045300,성우테크론,코스닥,IT H/W,5410,270,50884306820,2020-11-20,-,5410,501,10.8,5355,1.01,40,0.74,,
053290,NE능률,코스닥,출판·매체복제,3060,165,50570499420,2020-11-20,-,3060,59,51.86,3886,0.79,0,0,,
101000,상상인인더스트리,코스닥,기계·장비,796,-3,50403199988,2020-11-20,-,796,,,400,1.99,0,0,,
